rank,Track Name,Artist,Streams,URL,,,,UA,RU,OTHER
175,Федерико Феллини,Galibri & Mavik,30441,https://open.spotify.com/track/7Eyfmn0zcgcjGUrWlFdgqa,,,,0,RU,0
176,засыпай,ssshhhiiittt!,30441,https://open.spotify.com/track/5U6sM9kRxOJ2dXPyUT4w7l,,,,0,RU,0
177,Пачка сигарет,LIZER,30373,https://open.spotify.com/track/0Y84vLtyOj2demvSdJ2l7N,,,,0,RU,0
178,Хочешь,Arthur Pirozhkov,30355,https://open.spotify.com/track/0REqV81vXvrYw8xeyTTG5t,,,,0,RU,0
179,Запятые,FrozenGangBeatz,30327,https://open.spotify.com/track/0qOeaKEGBuBP7c0udCx1tf,,,,0,RU,0
180,ZITTI E BUONI,Måneskin,30275,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,,,,0,0,OTHER
181,Москва любит...,Skryptonite,30163,https://open.spotify.com/track/41bGn6u78I8eNZg86tx3vp,,,,0,RU,0
182,Я в моменте,Dzharakhov,29918,https://open.spotify.com/track/0sZ3fmbfUS5tMVzhXLXXPE,,,,0,RU,0
183,Я тебе не верю,Grigory Leps,29895,https://open.spotify.com/track/0WBErOmwDKkuWCHGaBrT6g,,,,0,RU,0
184,Под Звездопадом,Tima Belorusskih,29844,https://open.spotify.com/track/4XNPw2OPBGxIIhNLnNbZIi,,,,0,RU,0
185,МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,29757,https://open.spotify.com/track/77B4S4jkrAkL3Ng5hEHoUU,,,,0,RU,0
186,uf-af,LOLIWZ,29692,https://open.spotify.com/track/5bGs1NKVdyGjLlYjlTUVSY,,,,0,RU,0
187,Рассвет,КАКАЯ РАЗНИЦА,29572,https://open.spotify.com/track/0VGLb6IeeG5ZqonN5EavDu,,,,0,RU,0
188,СЭККС,LOVV66,29142,https://open.spotify.com/track/7pHQzPPLj0MgGPoInmT3cp,,,,0,RU,0
189,"На чиле (feat. Егор Крид, The Limba, blago white, OG Buda, Тимати, SODA LUV, Гуф)",Geegun,29135,https://open.spotify.com/track/1GTyZID5IGOXOAUoQkVlWo,,,,0,RU,0
190,Дурак и молния,Korol i Shut,29126,https://open.spotify.com/track/1aAcW69jxv3pp3I84oZGqP,,,,0,RU,0
191,It's the Most Wonderful Time of the Year,Andy Williams,29020,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,,,,0,0,OTHER
192,GAZ,Kaito Shoma,28956,https://open.spotify.com/track/4TNT1dmWRE8RVpKDHLF8UP,,,,0,RU,0
193,Marlboro,MiyaGi,28889,https://open.spotify.com/track/1V0XzDGcYMtjAysR3uyZbb,,,,0,RU,0
194,It's Beginning to Look a Lot like Christmas,Michael Bublé,28857,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,,,,0,0,OTHER
195,Bon Voyage,Big Baby Tape,28841,https://open.spotify.com/track/3U8JCs5aH9wLpQR08BuPJA,,,,0,RU,0
196,Новогодняя,Diskoteka Avariya,28793,https://open.spotify.com/track/2CZPJLTtQ8fNps1iOw4xfb,,,,0,RU,0
197,Додому (feat. Skofka),KALUSH,28758,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,,,,UA,0,0
198,help_urself,Ezekiel,28746,https://open.spotify.com/track/6bxKECVRnkLmtpeU22Ve9p,,,,0,0,OTHER
199,Moth To A Flame (with The Weeknd),Swedish House Mafia,28684,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA,,,,0,0,OTHER
200,Another Love,Tom Odell,28515,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,,,,0,0,OTHER
