rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER,
142,spotify:track:3MfoVUFEXWX6bxbACLVZEG,"OG Buda, BUSHIDO ZHO, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY","ГАНЬГ Аутро (feat. Bushido Zho, Scally Milano, MAYOT, Magnum Opus, SEEMEE, YUNGWAY)",Sony Music Entertainment,12,162,49,30260,0,RU,0,
143,spotify:track:2ZTJxMmPZizet6NSJmSezo,uglystephan,Снова обогнал их,Mansion Music,66,153,30,30238,0,RU,0,
144,spotify:track:1GT4VFRNFDAwmbhztzKgMT,Zhadan i Sobaky,Автозак,Жадан і Собаки,96,146,13,30230,UA,0,0,
145,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),Friends Keep Secrets/Interscope Records,145,-1,1,30198,0,0,OTHER,
146,spotify:track:4iGKPU8XBlsUoOoyvsFhLw,ScurtDae,Back to Life (Birthdae),Too Lost,146,-1,1,30099,0,0,OTHER,
147,spotify:track:2rowi7dF3AqhugMtAnvQmP,GONE.Fludd,TRAXXXMANIA,Sony Music Entertainment,1,139,44,30081,0,RU,0,
148,spotify:track:2ch5o7qvAhjtlCsbGYR15y,Шайни,Fukit,Mansion Music,148,-1,2,30065,0,RU,0,
149,spotify:track:320b8n5Ew9RgzDP67tVIx1,"Scally Milano, LOVV66",Буква Х,AMC MUSIC,59,118,33,30060,0,RU,0,
150,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,137,137,4,30014,0,0,OTHER,
151,spotify:track:1AcGAf1zNnRuGmnKN8ouQg,Лилу45,Світ мене ловив,Money Gun,151,158,2,29845,UA,0,0,
152,spotify:track:2PqtiIAHQhZfOH5GTAonYt,MamaRika,Kava,MamaRika,115,149,15,29842,UA,0,0,
153,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,147,17,29825,UA,0,0,
154,spotify:track:42p94sdDTSKGCoLUssuJme,СТРУКТУРА ЩАСТЯ,Сидативи,Plan,52,148,7,29806,UA,0,0,
155,spotify:track:6Xbxtp7npEVChidq0W49AA,артилерія,Недоторканна,Plan,104,155,4,29718,UA,0,0,
156,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,142,145,10,29686,0,0,OTHER,
157,spotify:track:0H2ZDRzULQ8tIUvxUuTlqF,Okean Elzy,Не твоя війна,"ТОВ ""Суперсиметрія""",10,132,24,29569,UA,0,0,
158,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,144,57,29161,0,0,OTHER,
159,spotify:track:2DYzsMQpO7xOw7b3JwyIWP,Korol i Shut,Кукла колдуна,United Music Group,5,143,107,28850,0,RU,0,
160,spotify:track:1MiUVjoHt4jiskDrt2ZHrq,LIL MORTY,Я пиздатый,Lil Morty,20,124,52,28643,0,RU,0,
161,spotify:track:12L3PRi1KaDiCPhFngI6Al,Odyn v Kanoe,Човен,Один в каное,81,164,22,28555,UA,0,0,
162,spotify:track:2OBIEXH89gyiRE1Ak6qgCW,Zlyj Reper Zenyk,Gmo,Moon Vinyl s.r.o.,162,184,2,28401,UA,0,0,
163,spotify:track:1zdbpQXkC4oHNiYiuLrbQZ,дипинс,Этажи,дипинс,25,138,5,28213,0,RU,0,
164,spotify:track:16NGHIeBR9Dxx0xKe0vByC,MAX BARSKIH,Буде весна,BEST MUSIC,59,160,20,28021,UA,0,0,
165,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,165,174,2,27978,0,0,OTHER,
166,spotify:track:26yvlxKTtN2u3mpbl6AIeI,FACE,Антидепрессант,Face,74,141,21,27971,0,RU,0,
167,spotify:track:0i8YObgqnjZYoYJOQbwLHq,"Poshlaya Molly, Eldzhey",Дом Периньон,DROPBLED,5,151,47,27775,0,RU,0,
168,spotify:track:4qYAgZDdKIGf137Nbdw6gR,"KALUSH, Khrystyna Soloviy",Таксі,Columbia Local,37,157,27,27570,UA,0,0,
169,spotify:track:1Ck6nc8m3uVBY0r4TRfd1e,OG Buda,Биг бой слайм,RNDM CREW,156,192,7,27569,0,RU,0,
170,spotify:track:66jiJ5DX54pWNBL2Vt2859,"Big Baby Tape, kizaru",Big Tymers,Sony Music Entertainment,6,166,39,27467,0,RU,0,
171,spotify:track:49uZPm1sSQPcJmN1TnbXij,KRBK,24,KRBK,157,172,10,27392,UA,0,0,
172,spotify:track:1llPAwXXqcuBGvd1WtFsot,Wellboy,Nozzy Bossy,Юрий Бардаш,56,175,23,27210,UA,0,0,
173,spotify:track:0xEET0hVtwAEI5iVMWmD5C,shadowraze,shadowfiend,Gamma Music,5,142,49,27127,0,RU,0,
174,spotify:track:66P9j5bWiRBotkxJN9ZsyV,KALUSH,Тіпок,Columbia Local,48,167,12,27072,UA,0,0,
175,spotify:track:7rvEwAILTqxBpdIyUifkE8,"Miyagi & Andy Panda, Mav-d",Marmalade,Hajime Records,6,179,38,27028,0,RU,0,
176,spotify:track:5m5rShfBQk4UpG7vpsEKzf,Miyagi & Andy Panda,Minor,Hajime Records,7,-1,90,26982,0,RU,0,
177,spotify:track:0E4X9NIpB7qGvV9ORFw4DD,"Scally Milano, uglystephan",Тюрбан,AMC MUSIC,170,170,2,26960,0,RU,0,
178,spotify:track:5jryefNsWX0TvFZBAIGlJs,"Scally Milano, 163ONMYNECK, FEARMUCH",Кид Кади,AMC MUSIC,163,177,8,26949,0,RU,0,
179,spotify:track:3TgVv1B12UrF0cLFAHXuer,LIL MORTY,I Am Cute,Lil Morty,179,196,3,26686,0,RU,0,
180,spotify:track:3bbkkPpf8AdRU6DurnvoC4,"Big Baby Tape, Молодой Платон",ВЛЮБИЛАСЬ,OOO Universal Music,7,168,34,26659,0,RU,0,
181,spotify:track:5oDzu4mpi13XnbBteabhYF,V $ X V PRiNCE,Суета,Vernый,23,173,11,26648,0,RU,0,
182,spotify:track:2cRE1GZn09vQPtdxxiZF3X,O.G EzzY,Шёлковая простынь,A+,47,116,5,26592,0,RU,0,
183,spotify:track:6nl2T8YjOdFFnQ4xBHXfdm,"The Kiffness, Boombox",Oy U Luzi Chervona Kalyna - Army Remix,Kiff Records,10,165,22,26535,UA,0,0,
184,spotify:track:41dtNH6BYBeE7j1FWE52uo,ooes,магия,rabstvo,93,-1,9,26392,0,RU,0,
