rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,UA,RU,OTHER
99,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,67,88,5,40803,0,0,OTHER
100,spotify:track:09NXCjWIBMQDQLOv6AMyDN,MBreeze,Окупанту,A-post,97,97,13,40645,UA,0,0
101,spotify:track:2PqtiIAHQhZfOH5GTAonYt,MamaRika,Kava,MamaRika,77,113,36,40355,UA,0,0
102,spotify:track:1P9oRiZJWnxe2pZmYUZ5eC,Skryptonite,Это любовь,Gazgolder Records,78,104,95,40276,0,RU,0
103,spotify:track:5Iuwed4U0EhaQTKDTmCTWI,zxcursed,never enough,A+,4,100,43,40036,0,RU,0
104,spotify:track:4GC6tlXcAsyp4pNrlyo1pb,Odyn v Kanoe,У мене немає дому,Kanoemusic,37,99,43,39991,UA,0,0
105,spotify:track:1rv46mRwDqMEhOBZ7vODg3,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,38,121,9,39968,0,0,OTHER
106,spotify:track:3tAQNhm1o0kzldsI5QkrB1,Aerosmith,Dream On,Aerosmith P&D - Sony,48,91,9,39877,0,0,OTHER
107,spotify:track:4ikCWgaaGLKgb724CUNnqZ,Кореш,глаза не врут,cplus,3,96,32,39847,0,RU,0
108,spotify:track:0pWMr82unREASQGFJrrI5S,Artem Pivovarov,Маніфест,BEST MUSIC,108,-1,1,39829,UA,0,0
109,spotify:track:6RmlamfS2Supq8wARlY0QQ,"10AGE, Ramil'",Ау,Rhymes Music Inc.,26,176,85,39689,0,RU,0
110,spotify:track:38sNsooZ7WRWAZkQnpHZcG,Wellboy,Ворогів на ножі,Wellboy,76,94,25,39569,UA,0,0
111,spotify:track:3yCKABoZU3FVFuyVBc5VlM,"rizza, Sqwore",плачь,Adam Music,6,198,63,39441,0,RU,0
112,spotify:track:6MlIIJwO4FxnOlrpOrS4hU,INTERWORLD,METAMORPHOSIS - Sped Up,INTERWORLD,112,132,8,39364,0,0,OTHER
113,spotify:track:6BfnNid8w0UyZqzR2mx1HB,"Молодой Платон, Poshlaya Molly, Yanix","DON'T PLAY, BAE",Zion Music,21,110,16,39351,0,RU,0
114,spotify:track:3CCF9HAE7ia9VrME9gQxoN,Skofka,Береза стара,Skofka,104,123,15,39323,UA,0,0
115,spotify:track:47iHvzU9Po0e6raFlgLBOF,shadowraze,astral step,Союз Мьюзик,1,107,62,39026,0,RU,0
116,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,76,102,105,39008,0,0,OTHER
117,spotify:track:0wpkj8A7T1CjIul0XQtkqK,SadSvit,Молодість,Independent,56,109,36,38982,UA,0,0
118,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,50,98,14,38835,0,0,OTHER
119,spotify:track:0Sm3xQV24fuWVnP5ZcC47y,ZXCURSEDKILLUA,Waste,"ZXCURSEDKILLUA , Shadowrazeblade",119,-1,1,38772,0,RU,0
120,spotify:track:1aXV8GrmQLvgoFtBPERP7E,Eyedress,Jealous,Lex Records,77,106,46,38713,0,0,OTHER
121,spotify:track:7vsAZNP2BZiHK8RHyTh7lC,"Килджо, shadowraze",Chronosphere,Союз Мьюзик,28,135,6,38437,0,RU,0
122,spotify:track:5grohwSCKaYj35Ea8LjpUT,Motor'Rolla,Восьмий колір,Bog Da Nova Muzyka,71,148,42,38243,UA,0,0
123,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,87,118,20,38104,0,0,OTHER
124,spotify:track:0EPK3XVvgbe8q0KrS7nEiY,АДЛИН,Dead Inside,Союз Мьюзик,17,112,24,37648,0,RU,0
125,spotify:track:5TK74MJYRmwU5NIAjGRvRq,"Scally Milano, uglystephan",Я хочу тебя трахать,AMC MUSIC,27,119,40,37577,0,RU,0
