rank,track_name,artist_names,streams,URL,,,,UA,RU,OTHER
143,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,23605,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof,,,,0,0,OTHER
144,Brooklyn,Miyagi & Andy Panda,23589,https://open.spotify.com/track/6WX6YUtobLydEjuvFqVggj,,,,0,RU,0
145,Кайф ты поймала,Konfuz,23291,https://open.spotify.com/track/210n2xgoOzGnb3I1K8OF4v,,,,0,RU,0
146,Почему ты еще не фанат?,СЕРЕГА ПИРАТ,23271,https://open.spotify.com/track/51K6oQ8WNneTfUaaQnzQdq,,,,0,RU,0
147,За всех,MACAN,23264,https://open.spotify.com/track/7uJlcGDXjx8Ha6t8kWFlxf,,,,0,RU,0
148,Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix,MORGENSHTERN,23148,https://open.spotify.com/track/5MAQgObkQo8YHICDRqdYcg,,,,0,RU,0
149,Oy U Luzi Chervona Kalyna - Army Remix,The Kiffness,23044,https://open.spotify.com/track/6nl2T8YjOdFFnQ4xBHXfdm,,,,UA,0,0
150,Zeit,Rammstein,22871,https://open.spotify.com/track/6eOGjyegLDZqCvCZ3divgp,,,,0,0,OTHER
151,Автозак,Zhadan i Sobaky,22852,https://open.spotify.com/track/1GT4VFRNFDAwmbhztzKgMT,,,,UA,0,0
152,HDMI,BONES,22816,https://open.spotify.com/track/7I4ibsZgwuf46g0xHuTC8s,,,,0,0,OTHER
153,Положение,Skryptonite,22776,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo,,,,0,RU,0
154,NHL MONEY,OBLADAET,22677,https://open.spotify.com/track/0s6XU14rLFh4AfCdW2gKAE,,,,0,RU,0
155,Я так соскучился,Pornofilmy,22481,https://open.spotify.com/track/6OMBhRhwg6cnWR9ghrTubA,,,,0,RU,0
156,Кайен,Valentin Strykalo,22435,https://open.spotify.com/track/1cM6fsR7qJbls7CkU2Hway,,,,UA,0,0
157,Bones,Imagine Dragons,22258,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,,,,0,0,OTHER
158,Я тебя люблю,Где Фантом?,22192,https://open.spotify.com/track/35LIFNsMZjGJhLvRYAYxTX,,,,0,RU,0
159,Jealous,Eyedress,22156,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E,,,,0,0,OTHER
160,Платина,Jakomo,22025,https://open.spotify.com/track/6Q41xwUI0G0ArhToGBy25n,,,,0,RU,0
161,Буревестник,Miyagi & Andy Panda,22002,https://open.spotify.com/track/0YMRW5mlu9bUCWeRMZfB32,,,,0,RU,0
162,Човен,Odyn v Kanoe,21865,https://open.spotify.com/track/12L3PRi1KaDiCPhFngI6Al,,,,UA,0,0
163,На твиче,нексюша,21825,https://open.spotify.com/track/5XIQxHGp9glGY6LRKl0qth,,,,0,RU,0
164,Колхозник,Mnogoznaal,21782,https://open.spotify.com/track/19guFw87TvSkoxnC9EBu2Y,,,,0,RU,0
165,help_urself,Ezekiel,21742,https://open.spotify.com/track/6bxKECVRnkLmtpeU22Ve9p,,,,0,0,OTHER
166,So Icy Nihao,Big Baby Tape,21717,https://open.spotify.com/track/5Wr1F6BoB9BQ4wtlefGpK3,,,,0,RU,0
167,Замигает свет,KENTUKKI,21669,https://open.spotify.com/track/0EDYTUzZPOcxUkki7HcHgV,,,,0,RU,0
168,Первый раз,JojoHF,21637,https://open.spotify.com/track/3qeNvBiZvs4W6sIpcXPYnY,,,,0,RU,0
169,Minor,Miyagi & Andy Panda,21567,https://open.spotify.com/track/5m5rShfBQk4UpG7vpsEKzf,,,,0,RU,0
170,Dirrt,Big Baby Tape,21531,https://open.spotify.com/track/0h3jDrGXvkETn0xJRcZOJ9,,,,0,RU,0
171,Шнурки,METAN,21439,https://open.spotify.com/track/4lBbG8BHYRvJAJE25bEMIm,,,,0,RU,0
172,Спортивные очки (Remastered),Buerak,21324,https://open.spotify.com/track/5w4B5QmQrxUHVAzXEni4Fz,,,,0,RU,0
173,Опианариум,Автостопом по фазе сна,21300,https://open.spotify.com/track/6p9KkBAfxdiulHJWBBj5OK,,,,0,RU,0
174,GAZ,Kaito Shoma,21291,https://open.spotify.com/track/4TNT1dmWRE8RVpKDHLF8UP,,,,0,RU,0
175,Пачка сигарет,LIZER,21287,https://open.spotify.com/track/0Y84vLtyOj2demvSdJ2l7N,,,,0,RU,0
176,Гимн Дахака,СЕРЕГА ПИРАТ,21282,https://open.spotify.com/track/75XM03G3WuW8vTRhJ7B3Hu,,,,0,RU,0
177,Я уёбываю в джаз,Кишлак,21032,https://open.spotify.com/track/3VeWIV9WTXUl8PcOusFjYv,,,,0,RU,0
178,Monday,ROCKET,21022,https://open.spotify.com/track/1AuvZZkmzlsArfACRNk97B,,,,0,RU,0
179,all I want is you,Rebzyyx,20919,https://open.spotify.com/track/7lOvJBqH38ZY59eLU7bioq,,,,0,0,OTHER
180,Hope,XXXTENTACION,20621,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,,,,0,0,OTHER
181,Тёмно-оранжевый закат,Папин Олимпос,20574,https://open.spotify.com/track/3rzmAXXnpqnPRCNk9exawQ,,,,0,RU,0
